index,db_type,db_conn,db_name,tb_name,hive_db_ods,hive_tb_ods,ext_condition,hive_db_dwd,hive_tb_dwd,patition_col_dwd,patition_col_src,weight,sync_type,status=1处理,,,,,,,,,,,,,,,,,,,,
80.0,mysql,hs_crm_money_ro,hs_crm_money,broker_bank_card,sahm_ods,ods_ksa_money_broker_bank_card_df,,sahm_dwd,dwd_sas_var_broker_bank_card_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
86.0,oracle,ksa_js_ro,HSDC_JS,SETTLE_MARGIN_RATIO,sahm_ods,ods_ksa_settle_margin_ratio_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_agt_settle_margin_ratio_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,无,无,无,无,通过,,,,,,,,,,,,,,,
87.0,oracle,ksa_js_ro,HSDC_JS,BRANCH_HOLDING_DETAIL_PAT,sahm_ods,ods_ksa_settle_branch_holding_detail_pat_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_branch_holding_detail_pat_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,无,无,无,无,通过,,,,,,,,,,,,,,,
96.0,mysql,hs_hq_ro,hs_hq,security_definition,sahm_ods,ods_ksa_hq_security_definition_df,,sahm_dwd,dwd_sas_var_hk_security_definition_df,,,10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
97.0,mysql,hs_us_hq_ro,hs_us_hq,us_hq_day_data,sahm_ods,ods_ksa_us_hq_day_data_di,"date_format(kline_date,'%Y-%m-%d')='{{ ds }}'",sahm_dwd,dwd_sas_var_us_hq_day_data_di,ds,"from_unixtime(to_unix_timestamp(kline_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
98.0,mysql,hs_hq_ro,hs_hq,hq_day_data,sahm_ods,ods_ksa_hq_day_data_di,"date_format(kline_date,'%Y-%m-%d')='{{ ds }}'",sahm_dwd,dwd_sas_var_hk_hq_day_data_di,ds,"date_format(kline_date,'yyyy-MM-dd')",10,1,1,无,无,无,无,,,,,,,,,,,,,,,,
99.0,mysql,hs_userinfo_ro,hs_userinfo,member_attribution,sahm_ods,ods_ksa_userinfo_member_attribution_df,,sahm_dwd,dwd_sas_chn_member_attribution_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
100.0,mysql,hs_userinfo_ro,hs_userinfo,member_attribution_node,sahm_ods,ods_ksa_userinfo_member_attribution_node_df,,sahm_dwd,dwd_sas_chn_member_attribution_node_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
101.0,mysql,orionbroker_ro,orionbroker,adviser,sahm_ods,ods_ksa_orionbroker_adviser_df,,sahm_dwd,dwd_sas_pty_adviser_di,ds,ds,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
102.0,mysql,hs_crm_money_ro,hs_crm_money,member_money_deposit,sahm_ods,ods_ksa_money_member_money_deposit_df,,sahm_dwd,dwd_sas_agt_member_money_deposit_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
103.0,mysql,hs_crm_money_ro,hs_crm_money,member_money_withdraw,sahm_ods,ods_ksa_money_member_money_withdraw_df,,sahm_dwd,dwd_sas_agt_member_money_withdraw_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
104.0,mysql,hs_crm_ro,hs_crm,member_stock_deposit,sahm_ods,ods_ksa_crm_member_stock_deposit_df,,sahm_dwd,dwd_sas_agt_member_stock_deposit_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
105.0,mysql,hs_crm_ro,hs_crm,member_stock_deposit_item,sahm_ods,ods_ksa_crm_member_stock_deposit_item_df,,sahm_dwd,dwd_sas_agt_member_stock_deposit_item_df,,,5,1,1,无,无,无,无,,,,,,,,,,,,,,,,
